Model,Best_Val_Acc,Best_Val_Epoch,Test_Acc,ROC_AUC
GCN,0.9258872866630554,132,0.9243215322494507,0.8186607599512388
MRA,0.9258872866630554,171,0.924843430519104,0.8505381802240398
